Image,ID,Class,Longitude,Latitude
image_298,0,collapsed,36.10727458482,36.22595439375
image_585,8,collapsed,36.144846963504,36.210033621875
image_244,1,collapsed,36.106630041184,36.229832586364
image_244,2,collapsed,36.106797741184,36.230048501136
image_244,3,collapsed,36.106123446316,36.229266139772
image_617,0,collapsed,36.155274020758,36.207197360084
image_617,1,collapsed,36.155162322992,36.20833625
image_617,2,collapsed,36.1551937375,36.208093535084
image_617,9,collapsed,36.155809832254,36.208328249291
image_617,10,collapsed,36.15606639375,36.207124013708
image_646,0,collapsed,36.1585365875,36.206525219958
image_646,13,collapsed,36.159760051004,36.2060624625
image_646,16,collapsed,36.159833355246,36.20562504375
image_646,18,collapsed,36.159751325,36.205875759375
image_615,10,collapsed,36.150227169754,36.208218580042
image_615,11,collapsed,36.150527363504,36.208047880042
image_136,0,collapsed,36.105394421875005,36.236914235228
image_136,3,collapsed,36.106167941965,36.235999925
image_377,0,collapsed,36.160861213504,36.223739136292
image_5,0,collapsed,36.113885379465,36.2460905
image_28,0,collapsed,36.1052044125,36.2430445875
image_501,0,collapsed,36.1364545016742,36.2147325875
image_501,6,collapsed,36.1364928985492,36.214294092614
image_457,2,collapsed,36.160021904242,36.217781721448
image_291,2,collapsed,36.150557226004,36.228607773792
image_592,0,collapsed,36.160249145758,36.20973949375
image_592,1,collapsed,36.160334667746,36.210202251208
image_592,3,collapsed,36.160238675,36.2095367875
image_592,5,collapsed,36.159814563504,36.2093660875
image_536,0,collapsed,36.154292394754,36.2139069743041
image_536,7,collapsed,36.154850894754,36.213798953125
image_695,11,collapsed,36.148285541071,36.2032546515625
image_483,10,collapsed,36.156574502008,36.217071894459
image_569,1,collapsed,36.109121756695,36.2092916397584
image_482,9,collapsed,36.154753564508,36.216167396166
image_482,12,collapsed,36.155723958258,36.216764844459
image_302,0,collapsed,36.114353671875,36.226097753978
image_110,0,collapsed,36.10811155357,36.239118413636
image_110,1,collapsed,36.108748879465,36.23878654375
image_699,9,collapsed,36.158368144196,36.202649492542
image_277,1,collapsed,36.119390223215,36.227610223864
image_693,12,collapsed,36.14424950625,36.202634898864
image_511,0,collapsed,36.15837915625,36.215099510583
image_566,1,collapsed,36.160832278348,36.211221428834
image_566,2,collapsed,36.161233521652,36.211573499291
image_566,4,collapsed,36.160520007812494,36.211925566334
image_566,10,collapsed,36.161233521652,36.211081401917
image_566,12,collapsed,36.1604833727679,36.210806682458006
image_164,1,collapsed,36.1075264717632,36.2342406125
image_564,0,collapsed,36.156582244754,36.211685207458
image_564,3,collapsed,36.156446111496,36.211035746875
image_564,4,collapsed,36.156582244754,36.210733020667
image_263,7,collapsed,36.148441714285,36.230065391334
image_722,0,collapsed,36.1478645625,36.201166254333
image_469,2,collapsed,36.125868555805,36.215276353125
image_269,0,collapsed,36.1598008797992,36.2306074375
image_207,0,collapsed,36.143903841742,36.233984351136
image_196,2,collapsed,36.11910542634,36.23305815625
image_512,0,collapsed,36.160938361496,36.21511016875
image_512,1,collapsed,36.16080048125,36.214518053125005
image_512,4,collapsed,36.161242044754,36.214703423083
image_512,5,collapsed,36.160866804242,36.214788773083
image_694,3,collapsed,36.146836636496,36.202827911292
image_349,1,collapsed,36.159665675,36.224867357458
image_247,1,collapsed,36.112505910715,36.229014967614006
image_587,1,collapsed,36.1474835389508,36.209465490625
image_535,8,collapsed,36.1533633125,36.213723949291
image_535,13,collapsed,36.153715864508,36.2138639756959
image_642,1,collapsed,36.151573975,36.20578078125
image_642,3,collapsed,36.151689166742,36.206351559375
image_620,1,collapsed,36.160929621875,36.208484582458
image_629,3,collapsed,36.121721636496,36.205902458522
image_484,0,collapsed,36.16008839375,36.2175973211791
image_484,2,collapsed,36.158906817746,36.217333269958
image_484,3,collapsed,36.159800417746,36.217290594958
image_484,4,collapsed,36.159514186496,36.217247919958
image_245,1,collapsed,36.10970321875,36.230273435228
image_245,2,collapsed,36.109668296875,36.229990878978
image_194,3,collapsed,36.115867816184,36.23276671875
image_194,6,collapsed,36.1141069657368,36.233734906959
image_194,8,collapsed,36.114676446316,36.233732240625
image_493,0,collapsed,36.120339254465,36.2148527110228
image_493,1,collapsed,36.12095213393,36.2147420875
image_593,0,collapsed,36.161164267746,36.209133128552
image_593,2,collapsed,36.160878036496,36.21054623125
image_593,3,collapsed,36.160876289508,36.210012482104
image_593,7,collapsed,36.1605394452008,36.21018595
image_123,4,collapsed,36.137194379465,36.2392155125
image_347,11,collapsed,36.155232173996005,36.224741686791
image_324,3,collapsed,36.162983752008,36.226717353834
image_538,0,collapsed,36.158795710492,36.213488539916
image_616,3,collapsed,36.152618825,36.207218375
image_616,6,collapsed,36.153624125,36.207297057458
image_616,9,collapsed,36.152704344754,36.2074530875
image_616,10,collapsed,36.152313394754,36.207119688209005
image_616,11,collapsed,36.153535113504,36.207947851208
image_616,13,collapsed,36.153412942746,36.208239906959
image_616,14,collapsed,36.153791675,36.208267913708
image_383,0,collapsed,36.11545738616,36.2217907077272
image_228,0,collapsed,36.129648015625,36.2327473203125
image_672,1,collapsed,36.157469048996,36.204046088209
image_166,2,collapsed,36.113555129465,36.23469214375
image_112,0,collapsed,36.1117035344868,36.2393087139772
image_351,0,collapsed,36.16415328125,36.224949019958
image_351,4,collapsed,36.16253363125,36.225566474291
image_351,5,collapsed,36.162961232254,36.22644264461661
image_644,11,collapsed,36.155660905246,36.20684220625
image_644,18,collapsed,36.154697492746,36.205379730396
image_644,19,collapsed,36.155584111496005,36.205780042896
image_691,9,collapsed,36.14034234375,36.201580697584
image_645,11,collapsed,36.156790698996,36.206295852416
image_645,14,collapsed,36.157523730246005,36.20597845625
image_431,1,collapsed,36.161060772992,36.220435511292
image_406,0,collapsed,36.1078872375,36.2184459125
image_458,5,collapsed,36.16173463125,36.218271098792
image_458,6,collapsed,36.161795717746,36.21866984375
image_121,1,collapsed,36.13242458482,36.23830595625
image_589,0,collapsed,36.153907442746,36.208940367542
image_589,4,collapsed,36.153005114508,36.21005391875
image_589,6,collapsed,36.152399492746,36.209901889916
image_485,3,collapsed,36.160887577008,36.217200233167
image_485,8,collapsed,36.160817764508,36.216926846875
image_15,0,collapsed,36.137049129465,36.246797761364
image_619,1,collapsed,36.15967375625,36.207343036791
image_156,5,collapsed,36.14994638393,36.237748843041
image_643,1,collapsed,36.15194979375,36.206647607458
image_643,4,collapsed,36.153712560492,36.205528721875005
image_643,5,collapsed,36.1522081,36.206466238708
image_264,0,collapsed,36.14943759375,36.229893349291
image_264,2,collapsed,36.1490307537945,36.229877344459
image_264,5,collapsed,36.149947453125,36.230089386292
image_2,0,collapsed,36.1071234969868,36.244995532386
image_256,0,collapsed,36.132829399555,36.229788848864
image_234,1,collapsed,36.14243545625,36.232053790625
image_700,1,collapsed,36.159226256696,36.202935205042
image_700,3,collapsed,36.159079716071,36.203324614417
image_700,12,collapsed,36.159217534598,36.20259780625
image_671,1,collapsed,36.15583835,36.2044138375
image_671,3,collapsed,36.155567826004,36.204139116334
image_671,6,collapsed,36.155655092746,36.204845921875
image_671,9,collapsed,36.154752764508,36.205192656250006
image_384,0,collapsed,36.11869001116,36.2218236421875
image_591,6,collapsed,36.157197763504,36.210375178552
image_591,17,collapsed,36.156199445200805,36.208996769604
image_591,19,collapsed,36.157660270758,36.210177691052
image_273,1,collapsed,36.11111465,36.227725097728
image_273,2,collapsed,36.111907730132,36.227638463636
image_332,1,collapsed,36.121324290180006,36.224827623864
image_668,18,collapsed,36.148317813504,36.203868094958
image_727,0,collapsed,36.159793973996,36.200214737500005
image_707,2,collapsed,36.11556188616,36.2007143178834
image_113,4,collapsed,36.1138885092632,36.238017238636
image_290,3,collapsed,36.14886366518,36.2296306508666
image_539,0,collapsed,36.160744055246,36.2140419703125
image_160,1,collapsed,36.158157191965,36.237285044958
image_193,1,collapsed,36.113148683035,36.233760819886
image_193,2,collapsed,36.11391521875,36.233643532386
image_193,4,collapsed,36.11351885491,36.233840788636
image_640,1,collapsed,36.14597735,36.205516416833
image_640,4,collapsed,36.146340375,36.205515083666
image_640,9,collapsed,36.14620075,36.205193686292006
image_640,10,collapsed,36.147345675,36.205860483167
image_640,12,collapsed,36.1457958375,36.205200353834
image_272,0,collapsed,36.108345151785,36.22831984375
image_272,1,collapsed,36.108844535715,36.228451792614
image_272,2,collapsed,36.10899469866,36.227798713636
image_272,3,collapsed,36.108462140625,36.228535760228
image_509,5,collapsed,36.154151601004,36.21463510625
image_537,2,collapsed,36.156291355246,36.213341519459
image_537,4,collapsed,36.156200598996,36.213500217542006
image_537,20,collapsed,36.156373383258,36.213150816833
image_255,0,collapsed,36.130337639508,36.23014335625
image_665,5,collapsed,36.142834057254,36.203390697584005
image_331,0,collapsed,36.119760183035005,36.224509061364
image_696,7,collapsed,36.151127187277,36.203091942542
image_405,2,collapsed,36.1622766625,36.221425352416
image_590,1,collapsed,36.15593965625,36.208855008666
image_590,2,collapsed,36.1540747524554,36.208956360084
image_590,5,collapsed,36.154803965848,36.209623156959
image_590,6,collapsed,36.1552278875,36.210327294459
image_590,7,collapsed,36.155908253571,36.208987033167
image_590,8,collapsed,36.155051690402,36.209633827416
image_590,9,collapsed,36.154940040402,36.20915906804101
image_590,12,collapsed,36.155904765625,36.209161734375
image_590,19,collapsed,36.154570199777,36.209004369459
image_274,0,collapsed,36.112806631695,36.227399911364
image_638,10,collapsed,36.142681047992,36.20530839566701
image_146,1,collapsed,36.128530725445,36.237025801917
image_300,5,collapsed,36.11090841741,36.225884794886
image_300,9,collapsed,36.11119827009,36.225672878978
image_452,1,collapsed,36.149227498996005,36.217551686791
image_249,1,collapsed,36.117013130132,36.229445746875
image_109,0,collapsed,36.1071183375,36.238693558522
image_109,1,collapsed,36.106910458816,36.237928525
image_565,2,collapsed,36.160192127008,36.211317125
image_246,3,collapsed,36.10986271875,36.230065536364
image_301,0,collapsed,36.11246479241,36.2259464375
image_189,0,collapsed,36.16333944375,36.2364951875
image_588,19,collapsed,36.150562845758,36.210192289916
image_647,2,collapsed,36.160949186496,36.2062414875
image_647,9,collapsed,36.160772909375,36.206006775
image_647,11,collapsed,36.16111848125,36.205769396166
image_647,13,collapsed,36.16110451875,36.206037448083
image_283,0,collapsed,36.133446910715,36.228284791334005
image_199,0,collapsed,36.124950417857,36.233317782386
image_618,1,collapsed,36.1579222375,36.20814286875
image_618,5,collapsed,36.157714544754,36.207206686791
image_510,1,collapsed,36.157148135492,36.215635166052
image_486,1,collapsed,36.163099466742,36.216913501208
image_486,2,collapsed,36.163816788504,36.216848155541
image_486,4,collapsed,36.16402448125,36.2176483109375
image_17,6,collapsed,36.14041855357,36.24608679375
image_563,3,collapsed,36.154927112500005,36.211419499291
image_563,5,collapsed,36.155000416742,36.21066468437501
image_563,8,collapsed,36.154867772992,36.210890061292
image_563,12,collapsed,36.1552622125,36.211582196875
